,MaterialTecho,Habitantes/Vivienda,Mal_Olor,Mal_Color,Sedimentos,Mal_Sabor,MaterialPiso,Cepillado,Edad,Sanitarios,Ducha,LavadoAntesComer,Purificacion,LavadoPostSanitario,AnimalDomestico,Etnia,Alcantarillado,Prevalencia
98,0,4.409090909090909,0.0,0.0,0.8636363636363636,0.0,2,2.6818181818181817,39.72727272727273,1.0909090909090908,2.0,2.0,2,2.0,1.8636363636363635,2,1.9545454545454546,1.0
99,0,4.636363636363637,0.0,0.0,0.0,0.09090909090909091,2,2.4545454545454546,39.54545454545455,0.9090909090909091,1.9090909090909092,2.0,2,2.0,2.0,2,1.0,2.0
100,3,5.2,0.0,0.0,0.0,0.0,6,2.6,33.8,0.8,1.8,2.0,2,2.0,1.6,3,1.0,2.0
101,4,5.346666666666667,0.039473684210526314,0.11842105263157894,0.09210526315789473,0.02631578947368421,2,2.473684210526316,36.26315789473684,1.0263157894736843,1.9078947368421053,1.9078947368421053,2,1.9342105263157894,1.763157894736842,3,1.2763157894736843,1.0
102,3,5.0,0.0,0.0,0.0,0.0,6,2.5555555555555554,36.111111111111114,0.7777777777777778,1.8888888888888888,2.0,2,2.0,1.8888888888888888,3,1.0,1.0
103,0,6.444444444444445,0.0,0.2222222222222222,0.0,0.0,2,3.0,45.111111111111114,1.0,2.0,2.0,2,2.0,2.0,3,1.0,1.0
104,0,4.9,0.0,0.1,0.0,0.0,6,2.7,38.1,0.5,1.6,2.0,2,2.0,1.6,3,1.1,1.0
105,0,6.0,0.3,0.3,0.2,0.1,2,2.5,37.9,1.0,1.8,2.0,2,1.9,1.8,3,1.1,1.0
106,0,5.303030303030303,0.0,0.18181818181818182,0.0,0.030303030303030304,2,2.787878787878788,38.15151515151515,0.9090909090909091,1.878787878787879,2.0,2,1.9696969696969697,1.8484848484848484,3,1.0,1.0
107,0,5.3076923076923075,0.41025641025641024,0.41025641025641024,0.44871794871794873,0.5512820512820513,2,2.7948717948717947,34.01282051282051,1.0128205128205128,1.6666666666666667,1.9871794871794872,2,1.9871794871794872,1.858974358974359,3,1.1538461538461537,1.0
108,0,4.947368421052632,0.0,0.0,0.05263157894736842,0.0,2,2.8421052631578947,33.26315789473684,1.0,1.9473684210526316,2.0,2,2.0,1.736842105263158,3,1.0,1.0
109,0,4.9655172413793105,0.034482758620689655,0.5517241379310345,0.13793103448275862,0.06896551724137931,2,2.9310344827586206,37.310344827586206,1.0,1.9310344827586208,2.0,2,2.0,1.7586206896551724,3,1.0,1.0
110,0,4.714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.0,2,2.857142857142857,47.857142857142854,1.0,2.0,2.0,2,1.8571428571428572,2.0,3,1.0,1.0
111,0,5.285714285714286,0.023255813953488372,0.16279069767441862,0.16279069767441862,0.023255813953488372,2,2.697674418604651,34.23255813953488,1.0,1.9767441860465116,2.0,2,1.930232558139535,1.8372093023255813,3,1.0,1.0
112,4,5.136363636363637,0.09090909090909091,0.2727272727272727,0.0,0.045454545454545456,6,2.772727272727273,34.59090909090909,0.9090909090909091,1.9090909090909092,1.8636363636363635,2,1.9090909090909092,1.6818181818181819,3,1.0,1.0
113,0,4.7894736842105265,0.1,0.15,0.0,0.0,2,2.6,33.05,1.0,1.95,2.0,2,2.0,1.9,3,1.0,0.0
114,0,4.647058823529412,0.0392156862745098,0.13725490196078433,0.23529411764705882,0.0784313725490196,1,2.7450980392156863,37.254901960784316,1.0,1.9803921568627452,1.9411764705882353,2,1.9411764705882353,1.8823529411764706,3,1.0196078431372548,2.0
115,0,3.5,0.0,0.0,1.0,0.0,1,2.5,27.5,1.0,2.0,2.0,4,2.0,1.5,2,2.0,1.0
116,0,4.333333333333333,0.0,0.0,0.0,0.0,2,2.6666666666666665,40.333333333333336,1.0,2.0,2.0,2,1.6666666666666667,1.6666666666666667,0,1.0,1.0
117,0,5.125,0.041666666666666664,0.3333333333333333,0.4583333333333333,0.25,2,2.875,36.458333333333336,1.0,1.9583333333333333,2.0,2,2.0,1.8333333333333333,3,1.125,0.0
118,4,3.5,0.5,0.5,0.0,0.0,6,3.0,32.5,1.0,2.0,2.0,2,1.5,1.5,3,1.0,2.0
119,4,3.9583333333333335,0.0,0.5555555555555556,0.0,0.0,2,2.9444444444444446,41.041666666666664,1.0,1.9166666666666667,2.0,2,2.0,1.5972222222222223,3,1.4305555555555556,1.0
120,0,4.375,0.0,0.0,0.0,0.125,2,3.0,31.625,1.0,2.0,2.0,2,1.875,1.625,3,1.0,2.0
121,0,4.0,0.0,0.0,0.0,0.0,2,3.0,27.0,1.0,2.0,2.0,2,2.0,2.0,3,1.0,2.0
122,0,3.7,0.0,0.09090909090909091,0.36363636363636365,0.0,1,2.909090909090909,43.18181818181818,1.0,2.0,2.0,2,1.9090909090909092,1.9090909090909092,3,1.1818181818181819,0.0
123,3,5.5,0.0,0.0,0.0,0.0,2,3.0833333333333335,33.833333333333336,1.0,2.0,2.0,2,2.0,1.75,3,1.0833333333333333,1.0
124,0,5.428571428571429,0.0,0.0,0.0,0.0,2,2.857142857142857,45.0,1.0,2.0,2.0,5,2.0,1.8571428571428572,3,1.0,1.0
125,0,5.25,0.0,0.0,0.0,0.0,2,2.125,41.75,1.0,2.0,1.875,2,2.0,2.0,2,1.0,2.0
126,4,4.153846153846154,0.0,0.07692307692307693,0.07692307692307693,0.0,2,2.1538461538461537,33.76923076923077,1.0,2.0,2.0,2,2.0,1.7692307692307692,3,1.3076923076923077,1.0
127,0,5.888888888888889,0.0,0.2777777777777778,0.3888888888888889,0.05555555555555555,2,2.611111111111111,40.611111111111114,0.8333333333333334,1.6111111111111112,1.9444444444444444,2,1.8333333333333333,1.8333333333333333,2,1.7777777777777777,2.0
128,0,3.7650602409638556,0.006024096385542169,0.45180722891566266,0.21084337349397592,0.012048192771084338,2,2.9216867469879517,38.31325301204819,0.9819277108433735,1.9759036144578312,1.9879518072289157,2,1.9939759036144578,1.6626506024096386,3,1.391566265060241,1.0
129,0,4.75,0.125,0.125,0.0,0.0,6,2.75,29.125,1.0,1.75,2.0,2,2.0,1.875,3,1.125,2.0
130,4,5.0,0.0,1.0,0.0,0.0,2,3.0,36.0,1.0,2.0,2.0,2,2.0,2.0,3,1.0,2.0
131,0,4.642857142857143,0.0,0.42857142857142855,0.07142857142857142,0.14285714285714285,2,2.9285714285714284,37.5,1.0,2.0,2.0,2,2.0,1.9285714285714286,3,1.0,1.0
132,0,5.125,0.0,0.25,0.0,0.0,2,3.375,49.375,1.0,2.0,2.0,2,2.0,1.75,3,1.125,2.0
133,0,4.25,0.0,0.0,0.25,0.0,6,2.25,34.375,1.0,2.0,2.0,2,2.0,2.0,2,1.0,2.0
134,4,4.833333333333333,0.0,0.25,0.0,0.08333333333333333,2,2.9166666666666665,36.916666666666664,0.9166666666666666,1.8333333333333333,2.0,2,2.0,1.8333333333333333,3,1.0833333333333333,2.0
135,0,4.785714285714286,0.07142857142857142,0.25,0.10714285714285714,0.03571428571428571,2,2.6785714285714284,34.107142857142854,1.0,1.9285714285714286,2.0,2,2.0,1.5357142857142858,3,1.2142857142857142,1.0
136,0,4.5,0.0,0.0,0.0,0.0,1,2.5,43.5,1.0,2.0,2.0,2,2.0,2.0,3,1.0,1.0
137,0,6.0,0.0,0.3333333333333333,0.3333333333333333,0.0,6,3.0,33.166666666666664,1.0,2.0,2.0,2,2.0,1.8333333333333333,2,1.0,2.0
138,0,4.379746835443038,0.02531645569620253,0.2911392405063291,0.16455696202531644,0.0,2,3.0253164556962027,42.860759493670884,1.0126582278481013,1.9873417721518987,1.9873417721518987,2,1.9873417721518987,1.4936708860759493,3,1.5696202531645569,1.0
139,4,4.666666666666667,0.0,0.030303030303030304,0.6666666666666666,0.06060606060606061,2,2.515151515151515,33.42424242424242,1.0303030303030303,1.9696969696969697,1.9696969696969697,2,1.9696969696969697,1.6363636363636365,2,1.9393939393939394,1.0
140,0,4.866666666666666,0.0,0.06666666666666667,0.6666666666666666,0.0,2,2.6666666666666665,39.6,1.0666666666666667,2.0,2.0,4,1.9333333333333333,1.7333333333333334,2,1.8666666666666667,1.0
141,4,5.54054054054054,0.0,0.05405405405405406,0.35135135135135137,0.0,2,2.891891891891892,32.891891891891895,0.918918918918919,1.8918918918918919,1.9189189189189189,2,1.9189189189189189,1.7567567567567568,2,1.5945945945945945,2.0
142,4,5.392857142857143,0.0,0.03571428571428571,0.8214285714285714,0.0,2,2.892857142857143,33.607142857142854,0.8928571428571429,1.8214285714285714,2.0,2,2.0,1.7142857142857142,2,1.5714285714285714,1.0
143,0,5.0,0.0,0.0,1.0,0.0,2,2.3125,32.1875,0.875,1.9375,1.875,2,1.875,1.3125,2,1.8125,1.0
144,3,5.0,0.0,0.0,0.0,0.0,2,2.5,41.0,1.0,2.0,2.0,2,2.0,2.0,3,1.0,2.0
145,0,4.333333333333333,0.0,0.08333333333333333,0.0,0.25,2,2.5,36.083333333333336,1.0,1.9166666666666667,1.8333333333333333,2,2.0,1.5,3,1.0,1.0
146,0,4.615384615384615,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,6,2.5,35.26923076923077,0.5384615384615384,1.6153846153846154,1.9615384615384615,2,2.0,1.9615384615384615,3,1.0,1.0
147,0,4.75,0.0,0.3333333333333333,0.0,0.08333333333333333,2,2.6666666666666665,35.25,0.9166666666666666,1.8333333333333333,1.9166666666666667,2,2.0,1.8333333333333333,3,1.0,1.0
